iter	RMSE
0	18.59175853
1	18.27220256
2	18.06806979
3	17.82225517
4	17.60426395
5	17.44418236
6	17.21282656
7	17.05858394
8	16.86606222
9	16.53942982
10	16.40890588
11	16.19589573
12	16.0775584
13	15.84456756
14	15.68803789
15	15.57510412
16	15.3576493
17	15.23066434
18	15.03404096
19	14.83198385
20	14.69185698
21	14.56788878
22	14.411191
23	14.20877048
24	14.07733726
25	13.90748239
26	13.81341935
27	13.63926915
28	13.53271169
29	13.34159326
30	13.12725683
31	12.96431656
32	12.7249764
33	12.55842413
34	12.45508799
35	12.3280752
36	12.19748206
37	12.0891257
38	11.90625158
39	11.80658814
40	11.70942501
41	11.59458404
42	11.49767173
43	11.36313129
44	11.13085018
45	10.96804118
46	10.81126186
47	10.74705605
48	10.61958054
49	10.53512893
50	10.42243534
51	10.33453214
52	10.27435037
53	10.17542028
54	10.07023347
55	10.00565185
56	9.846381125
57	9.783069789
58	9.661683012
59	9.54918145
60	9.488054342
61	9.307900193
62	9.206883145
63	9.11358854
64	9.018683128
65	8.908502651
66	8.725186174
67	8.654078587
68	8.530157495
69	8.315555094
70	8.166323842
71	8.120761926
72	8.036129986
73	7.900624024
74	7.757336418
75	7.682866936
76	7.621370897
77	7.572005711
78	7.479306289
79	7.401459319
80	7.337621994
81	7.26319715
82	7.148875498
83	7.103326352
84	7.011046658
85	6.885246456
86	6.771979215
87	6.703130973
88	6.615077531
89	6.528781466
90	6.494399228
91	6.431267428
92	6.335242359
93	6.222560822
94	6.140085856
95	6.098569831
96	6.00441687
97	5.94773343
98	5.856384208
99	5.785827462
100	5.720365012
101	5.6855784
102	5.610847657
103	5.529937763
104	5.514313761
105	5.477064337
106	5.411166533
107	5.388632259
108	5.296128949
109	5.252358832
110	5.191846801
111	5.081080028
112	5.043002274
113	4.985096932
114	4.975468582
115	4.942550541
116	4.912413948
117	4.853004779
118	4.809860355
119	4.773899776
120	4.717390733
121	4.709382449
122	4.652413581
123	4.613131131
124	4.568394643
125	4.53151898
126	4.477639586
127	4.400524605
128	4.346016104
129	4.25862885
130	4.198856966
131	4.136340883
132	4.102881203
133	4.082114732
134	4.058139098
135	4.03643835
136	3.990807169
137	3.934823638
138	3.896695405
139	3.870429111
140	3.844023887
141	3.827190811
142	3.821499675
143	3.791922183
144	3.761653732
145	3.748101724
146	3.715878267
147	3.701918279
148	3.653691022
149	3.625911219
150	3.608998915
151	3.593131784
152	3.552784445
153	3.514474106
154	3.507524812
155	3.490890025
156	3.433961695
157	3.430963814
158	3.381672966
159	3.353537215
160	3.338892395
161	3.310589355
162	3.294947109
163	3.236011676
164	3.210965728
165	3.18225983
166	3.17038482
167	3.149727092
168	3.13063548
169	3.100484148
170	3.065151979
171	3.055480584
172	3.016293925
173	2.977453773
174	2.940296556
175	2.923653497
176	2.887039778
177	2.876984402
178	2.864513172
179	2.852734185
180	2.838728265
181	2.807036949
182	2.795195312
183	2.780984184
184	2.765055538
185	2.743858723
186	2.725729477
187	2.712331143
188	2.697787313
189	2.685878258
190	2.671228219
191	2.642554355
192	2.618938328
193	2.609665034
194	2.587460769
195	2.562184081
196	2.554172213
197	2.544638413
198	2.536749061
199	2.529089274
200	2.50768589
201	2.497096588
202	2.481089995
203	2.474416082
204	2.458401587
205	2.447703274
206	2.442394956
207	2.419527403
208	2.404910416
209	2.393902154
210	2.383468479
211	2.371016039
212	2.346823387
213	2.336426017
214	2.324668226
215	2.307293947
216	2.298335837
217	2.279024303
218	2.270289664
219	2.264934583
220	2.256744939
221	2.247336145
222	2.2346891
223	2.21628417
224	2.201019118
225	2.191913323
226	2.178215773
227	2.168708669
228	2.153693744
229	2.146076039
230	2.127955179
231	2.118879171
232	2.11016532
233	2.092185888
234	2.081198693
235	2.070867634
236	2.065566853
237	2.06029083
238	2.052611903
239	2.037459544
240	2.028490951
241	2.022242214
242	2.01701559
243	2.002219683
244	1.98732721
245	1.981747247
246	1.968547366
247	1.963895438
248	1.954809167
249	1.947298602
250	1.938140526
251	1.926509664
252	1.916514244
253	1.906340207
254	1.901907451
255	1.893567597
256	1.888645219
257	1.883138041
258	1.87855199
259	1.868478311
260	1.864541196
261	1.852191363
262	1.848318831
263	1.838487014
264	1.829909206
265	1.8204203
266	1.811524185
267	1.803017156
268	1.791451879
269	1.780304752
270	1.773207222
271	1.765392129
272	1.761733176
273	1.756575303
274	1.748032306
275	1.73674202
276	1.730320395
277	1.723465436
278	1.720669115
279	1.713045945
280	1.704936079
281	1.700270608
282	1.690803109
283	1.686303966
284	1.683004866
285	1.672559879
286	1.663607458
287	1.654246881
288	1.651098165
289	1.650330628
290	1.642959705
291	1.636560069
292	1.632818068
293	1.624033911
294	1.623361506
295	1.615341521
296	1.610194455
297	1.609521025
298	1.605756822
299	1.601613422
300	1.594955323
301	1.591643432
302	1.585408537
303	1.57864649
304	1.569876852
305	1.567067832
306	1.563809099
307	1.560464732
308	1.554981788
309	1.551713381
310	1.547457363
311	1.54143751
312	1.532522513
313	1.528210671
314	1.521090827
315	1.516711494
316	1.510240617
317	1.506761794
318	1.49681068
319	1.49434184
320	1.488610103
321	1.481097459
322	1.475466779
323	1.469798501
324	1.464666918
325	1.455224976
326	1.448719636
327	1.444586148
328	1.43640986
329	1.432557713
330	1.426332377
331	1.422938512
332	1.419795862
333	1.414147268
334	1.411701091
335	1.409898644
336	1.40566203
337	1.39824857
338	1.392998168
339	1.392592003
340	1.387551204
341	1.382167684
342	1.376345433
343	1.37027576
344	1.365431708
345	1.361918863
346	1.35897982
347	1.354930023
348	1.354574949
349	1.35067431
350	1.34880065
351	1.345485881
352	1.340568859
353	1.3385478
354	1.33527685
355	1.329736214
356	1.324865046
357	1.322466678
358	1.317981462
359	1.31393496
360	1.311060044
361	1.308203981
362	1.302745174
363	1.300662187
364	1.29770214
365	1.292118418
366	1.28903919
367	1.28474674
368	1.279102389
369	1.276124158
370	1.270564085
371	1.268873405
372	1.261496081
373	1.25568208
374	1.251993002
375	1.24605751
