iter	Passed	Remaining
0	74	74738
1	90	44988
2	103	34527
3	118	29386
4	131	26237
5	145	24113
6	159	22586
7	173	21498
8	187	20614
9	201	19942
10	215	19410
11	229	18885
12	243	18513
13	257	18129
14	271	17823
15	286	17634
16	301	17421
17	315	17219
18	329	17018
19	344	16860
20	358	16723
21	372	16556
22	386	16403
23	399	16263
24	414	16167
25	427	16021
26	441	15910
27	454	15775
28	468	15682
29	481	15580
30	497	15540
31	512	15494
32	527	15446
33	541	15374
34	554	15301
35	568	15218
36	582	15157
37	596	15100
38	610	15037
39	624	14978
40	637	14913
41	650	14845
42	663	14776
43	677	14730
44	691	14666
45	705	14628
46	720	14603
47	734	14559
48	748	14520
49	761	14475
50	774	14419
51	789	14396
52	806	14403
53	822	14400
54	837	14396
55	854	14399
56	869	14391
57	884	14367
58	899	14341
59	914	14331
60	932	14349
61	948	14345
62	964	14346
63	979	14321
64	997	14349
65	1013	14338
66	1029	14338
67	1045	14330
68	1061	14327
69	1079	14338
70	1093	14308
71	1107	14273
72	1121	14247
73	1138	14245
74	1153	14231
75	1169	14221
76	1184	14202
77	1199	14179
78	1214	14162
79	1229	14139
80	1243	14109
81	1258	14085
82	1272	14060
83	1286	14032
84	1301	14015
85	1316	13988
86	1331	13969
87	1346	13951
88	1361	13933
89	1376	13919
90	1391	13899
91	1406	13885
92	1423	13883
93	1440	13885
94	1457	13886
95	1471	13856
96	1486	13841
97	1501	13823
98	1516	13801
99	1530	13774
100	1545	13757
101	1561	13747
102	1576	13731
103	1592	13715
104	1607	13702
105	1622	13681
106	1637	13663
107	1652	13647
108	1666	13623
109	1682	13613
110	1697	13598
111	1713	13581
112	1728	13571
113	1744	13560
114	1760	13549
115	1777	13547
116	1793	13534
117	1808	13521
118	1824	13509
119	1840	13495
120	1855	13482
121	1872	13473
122	1887	13454
123	1902	13438
124	1916	13417
125	1931	13397
126	1945	13375
127	1960	13357
128	1975	13336
129	1990	13320
130	2005	13303
131	2020	13283
132	2034	13263
133	2049	13242
134	2064	13228
135	2079	13208
136	2094	13191
137	2108	13173
138	2123	13156
139	2139	13141
140	2154	13128
141	2169	13107
142	2184	13091
143	2199	13074
144	2215	13064
145	2231	13054
146	2247	13043
147	2266	13046
148	2283	13039
149	2301	13043
150	2320	13045
151	2335	13029
152	2349	13005
153	2364	12987
154	2378	12968
155	2393	12949
156	2409	12938
157	2423	12915
158	2437	12892
159	2450	12865
160	2464	12843
161	2478	12821
162	2494	12809
163	2509	12791
164	2524	12775
165	2539	12757
166	2555	12745
167	2569	12726
168	2584	12709
169	2599	12690
170	2614	12673
171	2629	12656
172	2643	12635
173	2659	12623
174	2674	12609
175	2690	12596
176	2706	12584
177	2722	12572
178	2738	12558
179	2754	12546
180	2769	12531
181	2785	12520
182	2800	12504
183	2817	12494
184	2833	12483
185	2849	12469
186	2865	12456
187	2880	12441
188	2896	12428
189	2912	12415
190	2927	12400
191	2943	12387
192	2959	12375
193	2975	12363
194	2992	12352
195	3009	12343
196	3023	12325
197	3038	12306
198	3052	12285
199	3066	12266
200	3080	12246
201	3094	12225
202	3108	12204
