Date;Name
15.01.2024;NYSE,NASDAQ
19.02.2024;NYSE,NASDAQ
29.03.2024;NYSE,NASDAQ
27.05.2024;NYSE,NASDAQ
19.06.2024;NYSE,NASDAQ
03.07.2024;NYSE,NASDAQ
04.07.2024;NYSE,NASDAQ
02.09.2024;NYSE,NASDAQ
28.11.2024;NYSE,NASDAQ
29.11.2024;NYSE,NASDAQ
24.12.2024;NYSE,NASDAQ
25.12.2024;NYSE,NASDAQ
01.01.2024;MOEX,SPBEX,NYSE,NASDAQ
02.01.2024;MOEX,SPBEX
03.01.2024;SPBEX
04.01.2024;SPBEX
05.01.2024;SPBEX
06.01.2024;SPBEX
07.01.2024;MOEX,SPBEX
08.01.2024;SPBEX
23.02.2024;MOEX,SPBEX
08.03.2024;MOEX,SPBEX
29.04.2024;SPBEX
30.04.2024;SPBEX
01.05.2024;MOEX,SPBEX
09.05.2024;MOEX,SPBEX
10.05.2024;SPBEX
12.06.2024;MOEX,SPBEX
04.11.2024;MOEX,SPBEX
30.12.2024;MOEX,SPBEX
31.12.2024;MOEX,SPBEX
16.01.2023;NYSE,NASDAQ
20.02.2023;NYSE,NASDAQ
07.04.2023;NYSE,NASDAQ
29.05.2023;NYSE,NASDAQ
19.06.2023;NYSE,NASDAQ
03.07.2023;NYSE,NASDAQ
04.07.2023;NYSE,NASDAQ
04.09.2023;NYSE,NASDAQ
23.11.2023;NYSE,NASDAQ
24.11.2023;NYSE,NASDAQ
25.12.2023;NYSE,NASDAQ
01.01.2023;MOEX,SPBEX
02.01.2023;MOEX,SPBEX,NYSE,NASDAQ
03.01.2023;SPBEX
04.01.2023;SPBEX
05.01.2023;SPBEX
06.01.2023;SPBEX
07.01.2023;MOEX,SPBEX
08.01.2023;SPBEX
23.02.2023;MOEX,SPBEX
08.03.2023;MOEX,SPBEX
29.04.2023;SPBEX
30.04.2023;SPBEX
01.05.2023;MOEX,SPBEX
09.05.2023;MOEX,SPBEX
10.05.2023;SPBEX
12.06.2023;MOEX,SPBEX
04.11.2023;MOEX,SPBEX
30.12.2023;MOEX,SPBEX
31.12.2023;MOEX,SPBEX
17.01.2022;NYSE,NASDAQ
21.02.2022;NYSE,NASDAQ
15.04.2022;NYSE,NASDAQ
30.05.2022;NYSE,NASDAQ
20.06.2022;NYSE,NASDAQ
04.07.2022;NYSE,NASDAQ
05.09.2022;NYSE,NASDAQ
24.11.2022;NYSE,NASDAQ
25.11.2022;NYSE,NASDAQ
26.12.2022;NYSE,NASDAQ
01.01.2022;MOEX,SPBEX
02.01.2022;MOEX,SPBEX
03.01.2022;SPBEX
04.01.2022;SPBEX
05.01.2022;SPBEX
06.01.2022;SPBEX
07.01.2022;MOEX,SPBEX
08.01.2022;SPBEX
23.02.2022;MOEX,SPBEX
05.03.2022;MOEX 
06.03.2022;MOEX 
07.03.2022;MOEX 
08.03.2022;MOEX,SPBEX
09.03.2022;MOEX 
29.04.2022;SPBEX
30.04.2022;SPBEX
01.05.2022;MOEX,SPBEX
09.05.2022;MOEX,SPBEX
10.05.2022;SPBEX
12.06.2022;MOEX,SPBEX
04.11.2022;MOEX,SPBEX
30.12.2022;MOEX,SPBEX
31.12.2022;MOEX,SPBEX
18.01.2021;NYSE,NASDAQ
15.02.2021;NYSE,NASDAQ
02.04.2021;NYSE,NASDAQ
31.05.2021;NYSE,NASDAQ
05.07.2021;NYSE,NASDAQ
06.09.2021;NYSE,NASDAQ
25.11.2021;NYSE,NASDAQ
26.11.2021;NYSE,NASDAQ
24.12.2021;NYSE,NASDAQ
01.01.2021;MOEX,SPBEX,NYSE,NASDAQ
02.01.2021;SPBEX
03.01.2021;SPBEX
04.01.2021;SPBEX
05.01.2021;SPBEX
06.01.2021;SPBEX
07.01.2021;MOEX,SPBEX
08.01.2021;SPBEX
23.02.2021;MOEX,SPBEX
08.03.2021;MOEX,SPBEX
29.04.2021;SPBEX
30.04.2021;SPBEX
